id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340408,Umtshenalotha,und,"","",,Ndebele,Joachim Louis,2016-03-23T07:52:34Z
340408,Umtshwili,und,"","",,Ndebele,Joachim Louis,2016-03-23T07:52:57Z
343039,Umpumbu,und,"","",,Ndebele,Joachim Louis,2016-03-23T08:57:35Z
468701,Umabuyasibonze,und,"","",,Ndebele,Joachim Louis,2016-03-25T07:42:07Z
43694,Impofu,und,"","",,Ndebele,Bobby McCabe,2018-01-27T18:21:14Z
41964,Isilwane,und,"","",,Ndebele,Bobby McCabe,2018-01-27T18:25:32Z
43125,Umvundla,und,"","",,Ndebele,Bobby McCabe,2018-04-13T15:29:57Z
340245,Umganu,und,"","",,Ndebele,Botswanabugs,2020-01-13T05:54:34Z
340245,umkano,und,"","",,Ndebele,Botswanabugs,2020-01-13T06:51:35Z
340245,ikanyi,und,"","",,Ndebele,Botswanabugs,2020-01-13T06:52:55Z
340245,"iganu,",und,"","",,Ndebele,Botswanabugs,2020-01-13T06:53:38Z
47497,bujugwe,und,"","",,Ndebele,Botswanabugs,2020-01-16T14:17:44Z
340101,Idebelebe,und,"","",,Ndebele,Botswanabugs,2020-01-28T01:32:08Z
5231,iNgqungqulu,und,"","",,Ndebele,Botswanabugs,2020-01-28T02:46:29Z
925659,Insimba,und,"","",,Ndebele,Bobby McCabe,2020-02-23T05:04:04Z
41595,Insimba,und,"","",,Ndebele,Bobby McCabe,2020-02-23T05:22:56Z
47649,inTethe,und,"","",,Ndebele,Dewald du Plessis,2020-03-14T13:38:54Z
42122,Ngulubi,und,"","",,Ndebele,Bobby McCabe,2020-03-19T15:35:40Z
42288,Ipunzi ebovu,und,"","",,Ndebele,Bobby McCabe,2020-03-19T16:25:51Z
60583,iliKhephekhephe,und,"","",,Ndebele,Dewald du Plessis,2020-03-23T12:21:29Z
60583,iliLula,und,"","",,Ndebele,Dewald du Plessis,2020-03-23T12:21:50Z
60583,isiBokoboko,und,"","",,Ndebele,Dewald du Plessis,2020-03-23T12:22:31Z
60583,isiPanji,und,"","",,Ndebele,Dewald du Plessis,2020-03-23T12:22:54Z
60583,isiPonji,und,"","",,Ndebele,Dewald du Plessis,2020-03-23T12:23:14Z
121639,iKala,und,"","",,Ndebele,Dewald du Plessis,2020-04-06T18:44:19Z
342910,"iPrawuni, umDambi",und,"","",,Ndebele,Dewald du Plessis,2020-04-06T18:57:05Z
311310,iHlambi,und,"","",,Ndebele,Dewald du Plessis,2020-04-07T10:32:45Z
85493,iHlambi yelwandle,und,"","",,Ndebele,Dewald du Plessis,2020-04-07T10:44:39Z
1,isiLwana,und,"","",,Ndebele,Dewald du Plessis,2020-04-09T18:02:29Z
42281,iMpatoomo,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T12:48:00Z
447362,Peetsey,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T13:24:14Z
132658,inToosel,und,"South Africa | Northern Cape, ZA | Free State, ZA",ZA,,Ndebele,Dewald du Plessis,2020-04-24T13:41:58Z
42276,Sassaybe,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T13:52:07Z
42308,Kookaam,und,South Africa,ZA,,Ndebele,Dewald du Plessis,2020-04-24T14:57:20Z
20526,nEechey,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T15:00:52Z
42157,inTootla,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T15:10:01Z
42405,'nEaat,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T18:06:47Z
42405,Bokolokolo,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T18:07:26Z
42328,Phitomok,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T18:10:49Z
42424,iMpoon,und,South Africa,ZA,,Ndebele,Dewald du Plessis,2020-04-24T18:22:26Z
42278,Paala,und,South Africa | Botswana,"ZA,BW",,Ndebele,Dewald du Plessis,2020-04-24T18:23:51Z
43350,Chukuroo,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T18:31:57Z
42332,eTak,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T18:42:04Z
43348,Chickore,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T18:43:53Z
43348,Mohoohoo,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T18:49:10Z
524159,eeChlongole,und,South Africa,ZA,,Ndebele,Dewald du Plessis,2020-04-24T18:53:35Z
42336,Peeli,und,South Africa,ZA,,Ndebele,Dewald du Plessis,2020-04-24T19:27:10Z
42375,eOolah,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T19:29:48Z
42122,inGooloob,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T19:54:02Z
41964,Tao,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T20:03:17Z
41886,iMpeese,und,"","",,Ndebele,Dewald du Plessis,2020-04-24T20:12:16Z
51672,umKhaza,und,"","",,Ndebele,Dewald du Plessis,2020-08-21T11:25:15Z
51673,umKhaza,und,"","",,Ndebele,Dewald du Plessis,2020-08-21T11:35:23Z
123675,umKhaza,und,"","",,Ndebele,Dewald du Plessis,2020-08-21T12:05:34Z
797700,inKwakhwa?,und,"","",,Ndebele,Andrew Durso,2020-08-28T14:24:07Z
106446,iLoyi,und,"","",,Ndebele,Andrew Durso,2020-08-28T15:27:34Z
30488,iPhimpi,und,"","",,Ndebele,Andrew Durso,2020-08-28T15:41:57Z
30405,iMamba emnyama,und,"","",,Ndebele,Andrew Durso,2020-08-28T15:53:41Z
75192,mPofu,und,"Witbank, MP, ZA","",,Ndebele,Dewald du Plessis,2020-12-18T22:26:55Z
42157,nDlulamithi,und,"Witbank, MP, ZA","",,Ndebele,Dewald du Plessis,2020-12-18T22:27:51Z
489775,Jwajwajwa,und,"Francistown, FR, BW","",,Ndebele,Dewald du Plessis,2021-02-01T10:32:34Z
48139,Jwajwajwa,und,"Francistown, FR, BW","",,Ndebele,Dewald du Plessis,2021-02-01T10:35:38Z
68492,untulo,und,"","",,Ndebele,Botswanabugs,2021-03-23T12:26:47Z
160868,Idelele,und,"","",,Ndebele,Botswanabugs,2021-03-27T16:54:25Z
516181,IIsikusha seganga,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:27:08Z
516181,Isikusha sephane,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:28:17Z
516181,Isikusha,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:29:11Z
516181,Indlebe yebhalabhala,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:30:10Z
516181,Umshaba,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:31:18Z
516181,Isikolokotho,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:32:16Z
168423,Isikusha seganga,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:39:03Z
168423,Isikusha,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:42:54Z
546792,Isishaba,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:51:14Z
546792,Umshaba,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:51:40Z
546792,Isikolokotho,und,"","",,Ndebele,Botswanabugs,2021-04-11T03:54:46Z
340166,Mthunduluka,und,"","",,Ndebele,Botswanabugs,2021-04-18T02:44:26Z
79141,Umsobo,und,"","",,Ndebele,Botswanabugs,2021-06-07T05:10:08Z
340157,umqhobampunza,und,"","",,Ndebele,Botswanabugs,2021-06-07T05:11:15Z
841204,amakhomane,und,"","",,Ndebele,Botswanabugs,2021-06-07T05:13:20Z
50203,umhlabangubo,und,"","",,Ndebele,Botswanabugs,2021-06-07T05:16:20Z
186271,Umvumila,und,"","",,Ndebele,Botswanabugs,2021-07-17T18:32:59Z
186271,Umvumile,und,"","",,Ndebele,Botswanabugs,2021-07-17T18:33:34Z
340166,Mswantsha,und,"","",,Ndebele,Botswanabugs,2021-07-23T16:34:25Z
507102,Isihaqa esincinyane,und,"","",,Ndebele,Botswanabugs,2021-07-23T16:44:49Z
147000,Isihaqa,und,"","",,Ndebele,Botswanabugs,2021-07-23T16:48:28Z
340238,Umnondo,und,"","",,Ndebele,Botswanabugs,2021-07-23T17:10:37Z
142853,Umbama,und,"","",,Ndebele,Botswanabugs,2021-07-23T17:29:23Z
142853,Umdabule,und,"","",,Ndebele,Botswanabugs,2021-07-23T17:29:59Z
63205,Amazambane,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:40:33Z
431080,Amapatenyane,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:44:13Z
431080,Amasendendwangu,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:45:03Z
431080,Umjelekudzi,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:46:29Z
431080,Umlekule,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:47:18Z
340372,Amalilibhobo,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:49:48Z
340372,Umbovana,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:52:03Z
340372,Utshwala-benyoni,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:52:37Z
321502,Amalebo-emfula,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:55:01Z
321502,Ikalala,und,"","",,Ndebele,Botswanabugs,2021-07-24T13:56:55Z
342711,uXakuxaku,und,"","",,Ndebele,Botswanabugs,2021-07-27T06:36:52Z
595009,umkhemeswane,und,"","",,Ndebele,Botswanabugs,2021-07-28T04:38:58Z
169414,umhlali,und,"","",,Ndebele,Botswanabugs,2021-07-28T04:43:16Z
169414,umtamba,und,"","",,Ndebele,Botswanabugs,2021-07-28T04:44:06Z
338659,umhobohobo,und,"","",,Ndebele,Botswanabugs,2021-07-28T04:47:59Z
340255,umtshwankela,und,"","",,Ndebele,Botswanabugs,2021-07-28T04:57:02Z
